date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:43	21158/21158	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Sep%202025%2004:07:43%20GMT	https://larvalabs.com/	C:/my_web_sites/My%20Web%20Sites/larvalabs.com/larvalabs/larvalabs.com/index.html	(from )
21:07:43	0/0	---M--	302	error ('Found')	text/plain	date:Sun,%2007%20Sep%202025%2004:07:43%20GMT	https://larvalabs.com/robots.txt		(from )
21:07:43	1406/1406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221748986174000--2016017828%22	https://larvalabs.com/public/images/favicon.ico	C:/my_web_sites/My%20Web%20Sites/larvalabs.com/larvalabs/larvalabs.com/public/images/favicon.ico	(from https://larvalabs.com/)
21:07:43	122248/122248	---MCZ	200	added ('OK')	text/css	etag:W/%221748986172000-2111577019%22	https://larvalabs.com/public/components/bootstrap/css/bootstrap.min.css	C:/my_web_sites/My%20Web%20Sites/larvalabs.com/larvalabs/larvalabs.com/public/components/bootstrap/css/bootstrap.min.css	(from https://larvalabs.com/)
21:07:43	24413/24413	---MCZ	200	added ('OK')	text/css	etag:W/%221748986172000-2139539127%22	https://larvalabs.com/public/components/bootstrap/css/bootstrap-theme.min.css	C:/my_web_sites/My%20Web%20Sites/larvalabs.com/larvalabs/larvalabs.com/public/components/bootstrap/css/bootstrap-theme.min.css	(from https://larvalabs.com/)
21:07:44	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%221748986172000-1636399048%22	https://larvalabs.com/public/font-awesome-4.7.0/css/font-awesome.min.css	C:/my_web_sites/My%20Web%20Sites/larvalabs.com/larvalabs/larvalabs.com/public/font-awesome-4.7.0/css/font-awesome.min.css	(from https://larvalabs.com/)
21:07:44	1925/1925	---MCZ	200	added ('OK')	text/css	etag:W/%221748986174000--97075280%22	https://larvalabs.com/public/stylesheets/main.css?v=13	C:/my_web_sites/My%20Web%20Sites/larvalabs.com/larvalabs/larvalabs.com/public/stylesheets/mainf500.css	(from https://larvalabs.com/)
21:07:44	18747/18747	---MCZ	200	added ('OK')	text/css	etag:W/%221748986174000-812699035%22	https://larvalabs.com/public/stylesheets/styles.css?v=13	C:/my_web_sites/My%20Web%20Sites/larvalabs.com/larvalabs/larvalabs.com/public/stylesheets/stylesf500.css	(from https://larvalabs.com/)
21:07:44	85579/85579	---MCZ	200	added ('OK')	application/javascript	etag:W/%221748986172000--643997369%22	https://larvalabs.com/public/components/jquery-2.2.4.min.js	C:/my_web_sites/My%20Web%20Sites/larvalabs.com/larvalabs/larvalabs.com/public/components/jquery-2.2.4.min.js	(from https://larvalabs.com/)
21:07:44	37330/37330	---MCZ	200	added ('OK')	application/javascript	etag:W/%221748986172000-245423723%22	https://larvalabs.com/public/components/bootstrap/js/bootstrap.min.js	C:/my_web_sites/My%20Web%20Sites/larvalabs.com/larvalabs/larvalabs.com/public/components/bootstrap/js/bootstrap.min.js	(from https://larvalabs.com/)
